match_weight,match_probability,unique_id_l,unique_id_r,business_name_l,business_name_r,gamma_business_name,bf_business_name,pan_l,pan_r,gamma_pan,bf_pan,gstin_l,gstin_r,gamma_gstin,bf_gstin,pin_code_l,pin_code_r
-0.4885696666109301,0.4161372785325834,BBMP/560100/0070,KR/BN/00070/000,Foods Global Ltd,Global Foods Ltd,1,18.98973307249754,RMMCR9721V,RMMCR9721V,1,375.2870544017432,29RMMCR9721V7ZM,,-1,1.0,560100,560100
-0.4885696666109301,0.4161372785325834,ESCOM/560058/000098,KR/BN/00098/000,Chemicals Mahalaxmi Group,Mahalaxmi Chemicals Group,1,18.98973307249754,CVTFJ8028C,CVTFJ8028C,1,375.2870544017432,29CVTFJ8028C2ZF,,-1,1.0,560058,560058
-0.4885696666109301,0.4161372785325834,BBMP/560100/0013,ESCOM/560100/000013,Engineering Shree Pvt Ltd,Shree Engineering Pvt.Ltd,1,18.98973307249754,LBJCZ9036V,LBJCZ9036V,1,375.2870544017432,,,-1,1.0,560100,560100
-0.4885696666109301,0.4161372785325834,BBMP/560058/0252,KR/BN/00252/000,Bangalore Printing Traders,Printing Bangalore Traders,1,18.98973307249754,WKXCM9939Y,WKXCM9939Y,1,375.2870544017432,,,-1,1.0,560058,560058
-0.4885696666109301,0.4161372785325834,ESCOM/560058/000252,KR/BN/00252/000,Bangalore Printing Traders,Printing Bangalore Traders,1,18.98973307249754,WKXCM9939Y,WKXCM9939Y,1,375.2870544017432,,,-1,1.0,560058,560058
-0.4885696666109301,0.4161372785325834,BBMP/560100/0077,ESCOM/560100/000077,Venkateshwara Cables Pvt. Ltd.,Cables Venkateshwara Pvt Ltd,1,18.98973307249754,DWDAR3198Y,DWDAR3198Y,1,375.2870544017432,,,-1,1.0,560100,560100
-0.4885696666109301,0.4161372785325834,BBMP/560100/0085,ESCOM/560100/000085,Janatha Steel Pvt.Ltd,Steel Janatha Pvt Ltd,1,18.98973307249754,HVCCU7035B,HVCCU7035B,1,375.2870544017432,,29HVCCU7035B3Z5,-1,1.0,560100,560100
-0.4885696666109301,0.4161372785325834,BBMP/560100/0096,ESCOM/560100/000096,Mahalaxmi Packaging Enterprises,Packaging Mahalaxmi Entp,1,18.98973307249754,CDDAJ1313T,CDDAJ1313T,1,375.2870544017432,,,-1,1.0,560100,560100
-0.4885696666109301,0.4161372785325834,BBMP/560100/0243,KR/BN/00243/000,Royal Paints Group,Paints Royal Group,1,18.98973307249754,ZNDFO1246E,ZNDFO1246E,1,375.2870544017432,,,-1,1.0,560100,560100
-0.4885696666109301,0.4161372785325834,ESCOM/560058/000280,KR/BN/00280/000,Electronics Wipro Traders,Wipro Electronics Traders,1,18.98973307249754,ZOHPF2034F,ZOHPF2034F,1,375.2870544017432,,,-1,1.0,560058,560058
-0.4885696666109301,0.4161372785325834,ESCOM/560100/000243,KR/BN/00243/000,Royal Paints Group,Paints Royal Group,1,18.98973307249754,ZNDFO1246E,ZNDFO1246E,1,375.2870544017432,,,-1,1.0,560100,560100
-0.4885696666109301,0.4161372785325834,BBMP/560058/0046,ESCOM/560058/000046,Balaji Electronics Group,Electronics Balaji Group,1,18.98973307249754,PKFFQ1426P,PKFFQ1426P,1,375.2870544017432,,29PKFFQ1426P5Z2,-1,1.0,560058,560058
-0.4885696666109301,0.4161372785325834,BBMP/560058/0180,KR/BN/00180/000,Srinivasa Electronics Works,Electronics Srinivasa Works,1,18.98973307249754,WEEFM5655L,WEEFM5655L,1,375.2870544017432,29WEEFM5655L9ZK,,-1,1.0,560058,560058
-0.4885696666109301,0.4161372785325834,ESCOM/560058/000180,KR/BN/00180/000,Srinivasa Electronics Works,Electronics Srinivasa Works,1,18.98973307249754,WEEFM5655L,WEEFM5655L,1,375.2870544017432,29WEEFM5655L9ZK,,-1,1.0,560058,560058
-0.4885696666109301,0.4161372785325834,ESCOM/560058/000177,KR/BN/00177/000,Indian Garments Mfr,Garments Indian Mfrs,1,18.98973307249754,OIMCT9501J,OIMCT9501J,1,375.2870544017432,29OIMCT9501J9ZN,,-1,1.0,560058,560058
